@relation JM1

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute LOC_TOTAL numeric
@attribute label {Y,N}

@data
1,3,0,1,2,2,1,6,14.34,3.5,175.66,0.02,14,0.29,9.76,50.19,5,9,5,7,10,N
3,7,0,3,4,4,1,27,26.43,13.3,4675.24,0.12,86,0.08,259.74,351.52,38,48,10,7,37,N
4,3,0,0,2,2,1,20,41.97,9.61,3874.75,0.13,78,0.1,215.26,403.25,34,44,23,13,26,Y
16,13,9,0,7,4,5,63,39.71,36.67,53390.88,0.49,258,0.03,2966.16,1456.11,110,148,30,20,90,Y
25,27,0,12,15,14,1,100,56.53,33.27,62586.87,0.63,309,0.03,3477.05,1881.03,122,187,44,24,139,Y
0,5,0,0,4,2,1,16,24.56,7.33,1320.62,0.06,41,0.14,73.37,180.09,11,30,9,12,18,N
14,7,0,1,4,2,4,20,21.65,17,6256.29,0.12,75,0.06,347.57,368.02,26,49,13,17,37,N
1,3,0,1,2,2,1,12,23.09,3.57,294.48,0.03,23,0.28,16.36,82.45,10,13,7,5,16,N
0,1,1,0,1,1,1,4,25.43,2.86,207.57,0.02,21,0.35,11.53,72.65,10,11,7,4,8,N
12,5,0,0,3,3,1,55,88.89,19.93,35325.77,0.59,300,0.05,1962.54,1772.07,131,169,46,14,69,N
10,11,4,12,6,5,1,41,55.25,17.33,16599.68,0.32,168,0.06,922.2,957.67,78,90,36,16,69,N
30,111,3,15,56,33,12,192,180.19,25.61,118171.02,1.54,631,0.04,6565.06,4614.43,262,369,133,26,242,Y
3,11,0,0,6,4,3,14,20.47,18.75,7195.88,0.13,79,0.05,399.77,383.78,35,44,14,15,19,N
10,35,0,16,18,15,10,55,62.16,19.6,23880.48,0.41,217,0.05,1326.69,1218.39,98,119,35,14,83,Y
3,7,0,7,4,4,4,35,47.6,14.58,10122.49,0.23,119,0.07,562.36,694.11,50,69,36,21,45,N
3,5,0,0,3,3,1,27,37.73,16.36,10101.99,0.21,116,0.06,561.22,617.34,40,76,22,18,32,Y
5,5,0,0,3,3,1,14,48.44,8.39,3406.91,0.14,82,0.12,189.27,406.24,41,41,22,9,21,N
8,23,3,29,12,6,1,97,60.06,47.5,135521.39,0.95,485,0.02,7528.97,2853.08,200,285,40,19,139,Y
3,3,0,0,2,2,1,20,27.96,21.65,13103.56,0.2,120,0.05,727.98,605.33,46,74,17,16,25,Y
16,11,0,6,6,3,3,66,80.78,32.7,86388.8,0.88,410,0.03,4799.38,2641.61,182,228,64,23,88,N
3,3,0,0,2,2,1,11,17.84,8.33,1238.98,0.05,35,0.12,68.83,148.68,15,20,9,10,16,N
14,47,3,4,24,16,6,62,31.56,84,222659.18,0.88,465,0.01,12369.95,2650.7,168,297,26,26,85,N
4,6,0,0,5,5,1,29,27.07,10.5,2984.81,0.09,62,0.1,165.82,284.27,21,41,12,12,36,N
8,13,3,13,7,7,6,39,62.44,17.79,19750.95,0.37,188,0.06,1097.28,1110.5,83,105,42,18,65,N
1,1,1,0,1,1,1,2,13.5,2,54,0.01,9,0.5,3,27,4,5,4,4,6,N
1,5,0,2,3,2,1,14,27.13,8.14,1798.93,0.07,47,0.12,99.94,220.92,19,28,14,12,19,N
13,43,0,0,22,8,22,106,58.13,83.59,406148.33,1.62,870,0.01,22563.8,4858.92,406,464,34,14,122,N
4,3,0,0,2,1,1,12,13.9,15.58,3375.9,0.07,53,0.06,187.55,216.64,17,36,6,11,18,N
43,20,6,56,13,12,1,186,100.58,61.01,374326.51,2.05,912,0.02,20795.92,6135.86,357,555,79,27,295,N
4,3,0,0,2,2,1,11,21.34,7.56,1220.75,0.05,38,0.13,67.82,161.42,11,27,8,11,17,Y
3,13,0,5,7,4,1,18,32.72,9.39,2883.89,0.1,62,0.11,160.22,307.16,26,36,18,13,28,Y
0,1,0,0,1,1,1,2,3.48,4,55.73,0,6,0.25,3.1,13.93,2,4,1,4,4,N
5,5,0,0,3,1,1,14,19.95,12.41,3072.34,0.08,54,0.08,170.69,247.59,21,33,11,13,21,N
2,5,0,3,3,3,1,10,18.86,11,2281.98,0.07,48,0.09,126.78,207.45,18,30,9,11,17,N
16,39,3,6,20,6,12,130,41.14,92.17,349496,1.26,632,0.01,19416.44,3792,237,395,36,28,158,N
5,3,0,0,2,2,1,17,18.68,22.4,9370.8,0.14,89,0.04,520.6,418.34,28,61,10,16,24,Y
8,11,2,7,6,6,1,26,35.29,10.67,4015.7,0.13,74,0.09,223.09,376.47,24,50,18,16,45,Y
2,7,0,0,4,4,1,13,32.93,7.33,1770.86,0.08,52,0.14,98.38,241.48,22,30,15,10,18,N
1,5,0,0,3,3,1,14,27.5,8.63,2045.72,0.08,54,0.12,113.65,237.19,23,31,12,9,17,N
5,7,0,0,4,3,4,24,38.85,11.56,5194.56,0.15,85,0.09,288.59,449.26,37,48,24,15,31,N
3,3,0,2,2,2,1,17,20.22,10.23,2115.2,0.07,44,0.1,117.51,206.82,15,29,11,15,25,N
0,1,0,0,1,1,1,4,17.64,6.3,700.14,0.04,31,0.16,38.9,111.13,9,22,5,7,7,Y
6,9,0,5,5,5,1,20,36.55,9.26,3136.28,0.11,69,0.11,174.24,338.58,32,37,19,11,33,N
7,83,20,5,42,25,27,148,79.97,65.26,340687.48,1.74,779,0.02,18927.08,5219.64,322,457,74,30,182,Y
2,21,1,4,11,4,1,28,39.14,19,14131.17,0.25,145,0.05,785.07,743.75,57,88,21,14,38,N
7,13,5,8,7,7,6,46,57.34,17.37,17296.46,0.33,170,0.06,960.91,995.86,66,104,38,20,68,N
40,57,0,7,29,23,1,470,214.88,83.56,1500388.97,5.99,2372,0.01,83354.94,17955.7,1103,1269,165,25,519,N
2,9,0,0,5,2,5,12,11.66,19.13,4263.06,0.07,48,0.05,236.84,222.91,18,30,8,17,16,N
4,5,1,4,3,2,1,14,29.92,8.11,1971.77,0.08,50,0.12,109.54,242.9,23,27,17,12,25,N
5,19,0,0,10,3,8,39,31.83,26.4,22182.69,0.28,153,0.04,1232.37,840.25,66,87,25,20,44,Y
31,59,0,40,31,11,11,186,35.69,79.93,227989.05,0.95,498,0.01,12666.06,2852.5,166,332,27,26,259,N
4,11,0,0,6,5,4,25,33.92,15,7631.19,0.17,100,0.07,423.96,508.75,38,62,19,15,31,N
1,3,0,0,2,2,1,7,17.28,7,846.49,0.04,29,0.14,47.03,120.93,14,15,9,9,10,N
1,17,1,0,9,4,5,24,12.37,32.5,13063.03,0.13,93,0.03,725.72,401.94,35,58,7,13,30,N
1,5,0,0,3,2,1,15,21.19,4.71,471.01,0.03,27,0.21,26.17,99.91,11,16,7,6,18,N
4,5,0,0,3,2,1,13,28.72,8.02,1851.77,0.08,47,0.12,102.88,230.62,21,26,17,13,19,N
0,3,0,0,2,2,1,6,31.38,6.43,1296.89,0.07,44,0.16,72.05,201.74,18,26,14,10,8,N
1,1,0,0,1,1,1,4,15.38,4.57,321.48,0.02,18,0.22,17.86,70.32,8,10,7,8,7,N
5,1,0,3,1,1,1,18,67.62,6.68,3018.79,0.15,93,0.15,167.71,451.79,42,51,22,7,28,N
10,7,0,1,4,3,1,13,24.04,11.14,2985.45,0.09,57,0.09,165.86,267.93,26,31,14,12,26,N
8,19,0,9,10,4,8,45,23.84,45.32,48956.98,0.36,203,0.02,2719.83,1080.35,82,121,19,21,65,N
0,3,0,0,2,1,1,5,13.84,3.5,169.51,0.02,14,0.29,9.42,48.43,4,10,4,7,7,N
2,5,0,1,3,3,1,10,18.8,8.18,1258.37,0.05,34,0.12,69.91,153.8,15,19,11,12,16,N
0,3,0,0,2,2,1,12,19.93,5.57,618.5,0.04,30,0.18,34.36,111.01,13,17,7,6,14,N
2,3,0,0,2,2,1,15,13.11,14.88,2901.25,0.07,42,0.07,161.18,195.04,14,28,8,17,20,N
2,11,0,0,6,5,3,30,38.69,9.17,3250.8,0.12,73,0.11,180.6,354.63,30,43,18,11,34,N
9,19,7,15,10,8,1,43,34.32,24.4,20435.68,0.28,162,0.04,1135.32,837.53,61,101,20,16,76,N
4,11,1,2,6,4,6,23,28.39,14,5564.41,0.13,81,0.07,309.13,397.46,32,49,16,14,32,N
3,9,2,1,5,1,3,36,25.53,24.5,15326.24,0.21,121,0.04,851.46,625.56,49,72,18,18,47,Y
4,3,0,0,2,2,1,11,32,5.71,1044.78,0.06,41,0.18,58.04,182.84,20,21,14,8,17,Y
1,5,0,0,3,2,3,7,13.22,7.71,786.47,0.03,24,0.13,43.69,101.95,9,15,7,12,10,N
2,29,1,4,15,14,10,72,72.72,20.43,30348.69,0.5,266,0.05,1686.04,1485.6,110,156,35,13,81,Y
1,1,0,0,1,1,1,5,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,3,8,3,7,6,N
4,5,0,0,3,2,3,9,16.21,8.13,1070.63,0.04,30,0.12,59.48,131.77,10,20,8,13,15,N
3,5,0,0,3,1,1,12,11.08,10.83,1300,0.04,30,0.09,72.22,120,13,17,6,10,17,Y
2,5,0,1,3,2,3,7,11.33,9.75,1076.85,0.04,26,0.1,59.82,110.45,9,17,6,13,12,N
13,7,0,16,4,4,1,51,96.16,17.51,29478.87,0.56,272,0.06,1637.72,1683.63,107,165,55,18,84,N
2,1,0,0,1,1,1,7,23.77,6.55,1018.4,0.05,36,0.15,56.58,155.59,16,20,11,9,11,N
3,1,0,0,1,1,1,7,34.49,3.11,333.86,0.04,29,0.32,18.55,107.31,14,15,9,4,12,N
1,3,0,0,2,1,1,7,10.81,6.3,429.12,0.02,19,0.16,23.84,68.11,9,10,5,7,10,N
3,3,0,4,2,2,1,18,38.07,4.5,770.85,0.06,39,0.22,42.83,171.3,18,21,14,7,27,Y
6,7,0,0,4,3,1,24,40.7,13.56,7481.51,0.18,103,0.07,415.64,551.83,47,56,26,15,32,Y
2,5,0,0,3,3,3,15,42.5,7.58,2441.12,0.11,67,0.13,135.62,322.09,32,35,19,9,19,N
4,5,1,6,3,3,1,20,35.53,9.67,3320.33,0.11,70,0.1,184.46,343.48,29,41,18,12,34,N
4,1,0,4,1,1,1,19,75.56,3.47,911,0.09,58,0.29,50.61,262.37,25,33,18,5,29,N
1,1,0,0,1,1,1,4,13.11,4.8,301.96,0.02,17,0.21,16.78,62.91,6,11,5,8,8,Y
