@relation CM1

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
10,11,2,2,14,20,6,0.18,10,2,2,0.33,25,4,0.6,32,1,21.82,22.85,11393.4,0.17,95,0.04,632.97,498.55,0.67,5,10,21,0.1,37,58,17,21,59,33.33,34,N
4,9,0,0,0,16,5,0.25,8,2,1,0.2,19,1,0,20,1,13.75,21,6065.91,0.1,63,0.05,336.99,288.85,0.2,4,8,16,0.2,21,42,8,16,25,0,20,N
15,11,4,5,19,20,6,0.18,10,2,4,0.67,23,1,0,28,2,30.61,23.1,16332.07,0.24,128,0.04,907.34,707.02,0.17,5,10,19,0.08,55,73,25,21,75,46.15,33,N
10,7,1,7,10,12,4,0.18,6,2,2,0.5,14,1,0,15,0,22.84,25.89,15315.78,0.2,109,0.04,850.88,591.46,0.25,3,6,12,0.09,41,68,19,24,43,53.13,22,N
6,5,6,0,6,8,3,0.14,4,2,3,1,15,1,0,21,2,40.4,11.25,5113.63,0.15,86,0.09,284.09,454.54,0.33,2,4,14,0.09,36,50,24,15,34,22.22,21,N
12,37,12,23,65,60,20,0.13,28,2.14,10,0.5,104,9,0.42,130,1,83,51.6,220979.91,1.43,607,0.02,12276.66,4282.56,0.45,16,30,86,0.09,258,349,95,38,231,40.37,153,Y
6,15,6,6,7,20,9,0.14,10,2,7,0.78,38,1,0,57,7,45.05,29.27,38588.27,0.44,213,0.03,2143.79,1318.43,0.11,5,10,31,0.12,75,138,41,32,77,18.57,63,Y
3,3,2,0,0,4,2,0.11,2,2,1,0.5,8,1,0,19,2,24.71,10.58,2764.2,0.09,57,0.09,153.57,261.33,0.5,1,2,8,0.09,25,32,13,11,23,0,19,N
6,11,1,0,8,20,6,0.18,10,2,3,0.5,19,1,0,34,2,59.16,12.6,9398.15,0.25,135,0.08,522.12,745.68,0.17,5,10,15,0.12,43,92,29,17,49,19.05,34,N
27,3,2,1,19,4,2,0.09,2,2,2,1,7,1,0,22,1,37.27,15.43,8872.37,0.19,114,0.06,492.91,575.06,0.5,1,2,7,0.03,54,60,21,12,70,47.62,23,Y
5,19,5,7,39,34,10,0.07,16,2.13,8,0.8,61,8,0.78,127,18,124.12,29.01,104460.67,1.2,526,0.03,5803.37,3600.73,0.8,9,17,53,0.06,220,306,91,24,179,26.59,134,N
3,5,1,0,0,8,3,0.25,4,2,2,0.67,10,1,0,12,2,15.22,12,2191.93,0.06,43,0.08,121.77,182.66,0.33,2,4,9,0.19,14,29,7,12,16,0,12,N
19,3,1,2,0,4,2,0.06,2,2,2,1,23,1,0,33,0,64.01,11.65,8684.99,0.25,135,0.09,482.5,745.68,0.5,1,2,23,0.04,66,69,34,12,55,5.71,35,N
3,3,0,0,0,4,2,0.14,2,2,1,0.5,5,1,0,14,2,11.85,9,959.45,0.04,28,0.11,53.3,106.61,0.5,1,2,5,0.11,10,18,5,9,18,0,14,N
5,3,1,4,12,4,2,0.14,2,2,2,1,5,1,0,10,3,15.6,6.67,693.33,0.03,26,0.15,38.52,104,0.5,1,2,5,0.06,8,18,6,10,32,61.54,14,N
9,5,4,0,11,8,3,0.11,4,2,2,0.67,16,1,0,28,1,36.57,15.24,8490.44,0.19,104,0.07,471.69,557.19,0.33,2,4,15,0.06,32,72,21,20,49,28.21,28,Y
10,5,2,3,11,8,3,0.12,4,2,3,1,10,1,0,22,2,39.66,11.08,4871.43,0.15,81,0.09,270.63,439.53,0.33,2,4,9,0.06,28,53,24,19,47,38.89,25,Y
14,9,2,5,1,16,5,0.15,8,2,5,1,21,4,0.75,28,2,18.72,21.54,8684.58,0.13,83,0.05,482.48,403.21,0.8,4,8,18,0.1,35,48,13,16,49,17.65,33,N
9,5,3,2,2,8,3,0.16,4,2,3,1,11,1,0,17,0,36.74,14.57,7799.92,0.18,102,0.07,433.33,535.29,0.33,2,4,10,0.1,36,66,21,17,31,19.05,19,N
0,7,9,1,23,10,4,0.17,4,2.5,4,1,20,1,0,23,0,34.26,11.57,4586.97,0.13,75,0.09,254.83,396.41,0.25,3,5,18,0.08,27,48,21,18,48,51.06,24,N
10,11,8,4,0,20,6,0.16,10,2,6,1,31,1,0,34,0,64.31,12,9260.02,0.26,146,0.08,514.45,771.67,0.17,5,10,27,0.12,54,92,27,12,49,10.53,38,N
4,3,2,1,12,4,2,0.18,2,2,1,0.5,7,1,0,10,1,23.14,6.5,977.69,0.05,32,0.15,54.32,150.41,0.5,1,2,7,0.07,13,19,13,13,28,56.52,11,Y
17,21,4,1,8,36,11,0.26,16,2.25,5,0.45,43,7,0.6,41,5,42.16,35.93,54431.16,0.5,241,0.03,3023.95,1514.78,0.64,10,18,34,0.16,98,143,45,33,68,18,42,N
36,13,5,6,14,24,7,0.14,12,2,7,1,30,1,0,44,0,78.96,22.12,38620.28,0.58,269,0.05,2145.57,1746.31,0.14,6,12,25,0.07,115,154,65,25,101,31.25,50,Y
156,63,5,53,27,116,32,0.23,54,2.15,10,0.31,129,12,0.35,85,1,78.34,51.47,207526.23,1.34,589,0.02,11529.23,4031.99,0.38,31,58,99,0.1,267,322,83,32,330,48.48,138,N
48,57,11,61,32,106,29,0.13,50,2.12,22,0.76,161,27,0.93,165,3,204.29,41.72,355647.88,2.84,1112,0.02,19758.22,8523.85,0.93,28,53,134,0.09,463,649,172,31,307,36.05,226,N
8,7,0,2,14,10,4,0.24,4,2.5,1,0.25,11,3,0.67,15,0,17.03,14.68,3670.2,0.08,52,0.07,203.9,249.98,0.75,3,5,9,0.17,19,33,11,17,23,51.61,17,N
7,3,3,0,9,4,2,0.17,2,2,2,1,7,1,0,12,1,22.78,2.33,124.02,0.02,16,0.43,6.89,53.15,0.5,1,2,7,0.07,7,9,6,4,29,42.86,12,N
12,19,2,0,0,36,10,0.2,18,2,9,0.9,47,10,1,50,2,74.62,10.16,7697.18,0.25,138,0.1,427.62,757.88,1,9,18,39,0.16,50,88,32,13,63,0,50,N
0,5,2,2,0,8,3,0.2,4,2,3,1,12,1,0,13,2,22.4,7.33,1204.38,0.05,38,0.14,66.91,164.23,0.33,2,4,11,0.19,12,26,9,11,16,13.33,15,Y
42,11,10,5,44,20,6,0.16,10,2,6,1,30,1,0,32,0,53.31,12.89,8852.8,0.23,123,0.08,491.82,686.95,0.17,5,10,26,0.05,47,76,31,17,124,60.49,37,N
12,19,2,0,0,36,10,0.2,18,2,9,0.9,47,10,1,50,2,65.44,11.21,8218.63,0.24,136,0.09,456.59,733.36,1,9,18,39,0.16,50,86,29,13,63,0,50,N
4,3,0,3,0,4,2,0.12,2,2,1,0.5,6,1,0,14,2,16.29,9.29,1404.34,0.05,37,0.11,78.02,151.24,0.5,1,2,6,0.09,13,24,7,10,22,17.65,17,N
10,29,8,2,65,56,15,0.1,28,2,6,0.4,74,11,0.71,149,6,118.83,46.92,261640.64,1.86,781,0.02,14535.59,5575.99,0.73,14,28,61,0.07,333,448,110,31,227,31.02,151,N
21,13,5,2,30,22,7,0.21,10,2.2,5,0.71,24,1,0,31,1,26.31,23.5,14529.3,0.21,126,0.04,807.18,618.27,0.14,6,11,19,0.08,47,79,15,15,85,50.79,33,N
164,110,26,37,191,128,70,0.18,54,2.37,46,0.66,241,27,0.38,361,1,157.03,97.73,1499684.32,5.12,1844,0.01,83315.8,15345.64,0.39,37,66,173,0.09,711,1133,251,69,764,38.71,398,N
0,3,0,0,0,4,2,0.15,2,2,1,0.5,6,1,0,13,0,21.15,3.5,259.02,0.02,20,0.29,14.39,74.01,0.5,1,2,6,0.14,6,14,6,7,14,0,13,N
4,7,1,3,0,12,4,0.18,6,2,4,1,25,1,0,19,2,40.01,18.29,13377.17,0.24,134,0.05,743.18,731.56,0.25,3,6,23,0.15,64,70,28,16,27,13.64,22,N
3,11,1,0,0,16,6,0.25,6,2.67,2,0.33,18,6,1,24,1,19.97,17.33,5999.58,0.12,72,0.06,333.31,346.13,1,5,8,14,0.21,26,46,12,16,28,0,24,N
77,19,6,4,31,36,10,0.08,18,2,10,1,69,1,0,127,1,208.02,26.3,143936.36,1.82,753,0.04,7996.46,5471.89,0.1,9,18,61,0.04,259,494,128,26,240,21.6,131,N
4,13,2,1,0,24,7,0.16,12,2,7,1,47,1,0,42,1,160.8,10.16,16586.02,0.54,263,0.1,921.45,1633.09,0.14,6,12,42,0.15,130,133,64,10,48,2.33,43,N
2,3,3,0,9,4,2,0.11,2,2,2,1,9,1,0,18,1,32,11.63,4329.68,0.12,72,0.09,240.54,372.23,0.5,1,2,9,0.07,26,46,19,17,30,33.33,18,N
13,9,7,1,20,16,5,0.21,8,2,5,1,20,1,0,23,0,30.19,7.85,1858.26,0.08,51,0.13,103.24,236.84,0.2,4,8,17,0.09,17,34,13,12,58,47.73,24,N
2,9,2,1,0,16,5,0.16,8,2,5,1,41,1,0,30,1,78,13.61,14437.64,0.35,189,0.07,802.09,1061.18,0.2,4,8,38,0.15,94,95,38,11,34,3.23,31,N
1,3,0,0,0,4,2,0.29,2,2,1,0.5,5,1,0,7,1,8.79,12,1265.83,0.04,27,0.08,70.32,105.49,0.5,1,2,5,0.22,12,15,5,10,9,0,7,N
46,39,6,20,96,70,20,0.18,32,2.19,4,0.2,97,9,0.42,91,1,72.67,51.47,192513.32,1.25,568,0.02,10695.18,3740.26,0.45,19,35,79,0.08,250,318,68,28,254,56.04,111,Y
7,9,3,4,5,14,5,0.16,6,2.33,3,0.6,20,3,0.5,27,0,24.71,21.86,11802.86,0.18,108,0.05,655.71,540,0.6,4,7,17,0.11,34,74,14,18,44,25,31,N
23,13,0,10,17,24,7,0.21,12,2,1,0.14,27,5,0.67,23,3,17.45,27.22,12929.85,0.16,105,0.04,718.32,474.97,0.71,6,12,22,0.09,35,70,9,14,74,54,33,N
22,7,4,9,31,12,4,0.1,6,2,3,0.75,19,1,0,32,6,45.51,16.36,12184.85,0.25,130,0.06,676.94,744.63,0.25,3,6,17,0.04,54,76,33,20,95,55.56,41,N
8,5,1,1,11,8,3,0.16,4,2,1,0.33,12,1,0,18,4,35.6,12.89,5919.2,0.15,91,0.08,328.84,459.04,0.33,2,4,11,0.05,35,56,19,14,57,40,19,N
1,5,5,0,11,8,3,0.11,4,2,3,1,13,1,0,28,2,47.22,11.69,6449.49,0.18,103,0.09,358.3,551.83,0.33,2,4,12,0.07,33,70,24,17,41,28.21,28,N
1,7,1,1,0,12,4,0.25,6,2,4,1,20,1,0,15,1,20.45,13.07,3491.27,0.09,55,0.08,193.96,267.19,0.25,3,6,18,0.22,28,27,15,14,18,6.25,16,N
12,9,3,1,1,16,5,0.24,8,2,4,0.8,19,5,1,20,2,23.83,11.5,3151.22,0.09,57,0.09,175.07,274.02,1,4,8,16,0.14,23,34,14,14,35,9.09,21,N
9,9,1,0,17,12,5,0.23,4,3,3,0.6,13,5,1,22,2,35.13,12.55,5531.32,0.15,84,0.08,307.3,440.83,1,4,6,10,0.1,31,53,21,17,49,43.59,22,Y
16,5,1,10,7,8,3,0.1,4,2,2,0.67,11,1,0,20,1,37.71,30.2,34384.39,0.38,205,0.03,1910.24,1138.69,0.33,2,4,10,0.06,89,116,28,19,54,45.95,30,N
93,25,10,11,57,48,13,0.08,24,2,12,0.92,69,1,0,143,1,175.18,28.52,142535.33,1.67,695,0.04,7918.63,4996.93,0.08,12,24,58,0.04,290,405,122,24,305,32.22,154,Y
10,3,2,2,4,4,2,0.07,2,2,2,1,7,1,0,25,1,48.82,16.55,13373.72,0.27,148,0.06,742.98,808,0.5,1,2,7,0.05,64,84,29,15,42,19.35,27,N
2,15,2,1,9,24,8,0.19,10,2.4,6,0.75,24,6,0.71,41,4,75.22,14.8,16481.41,0.37,187,0.07,915.63,1113.43,0.75,7,12,18,0.15,67,120,43,19,54,19.61,42,N
40,9,4,2,15,16,5,0.15,8,2,2,0.4,21,1,0,31,0,47.41,27.5,35852.6,0.43,231,0.04,1991.81,1303.73,0.2,4,8,18,0.06,70,161,28,22,89,35.42,33,N
26,28,16,20,119,28,17,0.1,12,2.33,13,0.76,72,10,0.56,154,1,133.35,38.57,198396.43,1.71,695,0.03,11022.02,5143.61,0.59,8,14,57,0.05,285,410,133,36,320,47.44,174,N
4,5,1,4,0,8,3,0.14,4,2,3,1,10,1,0,17,2,34.27,2.78,264.4,0.03,25,0.36,14.69,95.18,0.33,2,4,9,0.12,10,15,9,5,26,19.05,21,N
5,3,0,0,2,4,2,0.18,2,2,1,0.5,5,1,0,11,2,19.8,6.11,739.53,0.04,28,0.16,41.08,121.01,0.5,1,2,5,0.11,10,18,9,11,19,15.38,11,N
2,5,4,0,2,8,3,0.14,4,2,3,1,14,1,0,21,2,34.56,8.63,2570.73,0.1,62,0.12,142.82,298.06,0.33,2,4,13,0.12,23,39,16,12,26,8.7,21,N
0,5,1,0,5,6,3,0.19,2,3,2,0.67,7,3,1,16,4,24.32,7.64,1418.49,0.06,40,0.13,78.8,185.75,1,2,3,6,0.14,12,28,11,14,22,23.81,16,N
5,7,1,0,6,10,4,0.15,4,2.5,2,0.5,13,3,0.67,26,2,38.77,13.2,6756.06,0.17,99,0.08,375.34,511.82,0.75,3,5,11,0.11,33,66,20,16,38,18.75,26,N
14,7,4,4,21,10,4,0.12,4,2.5,3,0.75,16,3,0.67,29,2,39.73,19.35,14882.34,0.26,133,0.05,826.8,768.92,0.75,3,5,14,0.04,50,83,31,24,95,46.3,33,N
6,11,0,2,2,16,6,0.38,6,2.67,1,0.17,18,5,0.8,14,2,15.76,17.6,4880.94,0.09,59,0.06,271.16,277.33,0.83,5,8,14,0.24,22,37,10,16,25,22.22,16,N
0,5,2,0,0,8,3,0.14,4,2,3,1,12,1,0,21,1,36.48,10.43,3969.82,0.13,72,0.1,220.55,380.55,0.33,2,4,11,0.14,27,45,22,17,22,0,21,N
2,3,4,0,3,4,2,0.11,2,2,2,1,8,1,0,19,2,31.71,8.91,2515.03,0.09,57,0.11,139.72,282.39,0.5,1,2,8,0.08,19,38,16,15,25,13.64,19,N
12,7,8,3,3,12,4,0.12,6,2,4,1,25,1,0,30,0,30.45,20.71,13065.14,0.21,122,0.05,725.84,630.73,0.25,3,6,23,0.08,58,64,21,15,49,16.67,33,N
12,7,4,1,0,12,4,0.17,6,2,4,1,19,4,1,22,2,30.25,10.71,3467.15,0.11,66,0.09,192.62,323.85,1,3,6,17,0.11,28,38,17,13,36,4.35,23,N
39,37,6,6,51,66,19,0.2,30,2.2,9,0.47,77,9,0.44,88,1,66.11,50.27,167072.98,1.11,496,0.02,9281.83,3323.42,0.47,18,33,60,0.1,207,289,70,34,185,39.31,94,N
39,13,7,4,28,24,7,0.13,12,2,7,1,33,1,0,48,1,124.44,13.9,24028.83,0.58,262,0.07,1334.93,1729.18,0.14,6,12,28,0.06,107,155,77,20,120,40,52,N
16,5,7,2,24,8,3,0.18,4,2,3,1,15,1,0,15,1,36.19,7.18,1867.89,0.09,52,0.14,103.77,260,0.33,2,4,14,0.05,21,31,19,13,58,63.41,17,N
5,5,0,0,0,8,3,0.15,4,2,1,0.33,9,1,0,20,2,10.03,14.67,2158.18,0.05,36,0.07,119.9,147.15,0.33,2,4,8,0.12,16,20,6,11,26,0,20,N
30,32,19,4,62,16,24,0.26,4,4,19,0.79,55,9,0.35,89,3,54.69,47.6,123914.45,0.87,402,0.02,6884.14,2603.24,0.38,6,8,33,0.13,154,248,55,34,186,42.58,93,Y
15,5,1,7,9,8,3,0.16,4,2,2,0.67,10,1,0,12,1,28.99,18.12,9514.39,0.18,106,0.06,528.58,525.14,0.33,2,4,9,0.07,44,62,17,14,44,57.14,19,N
7,7,1,1,5,12,4,0.17,6,2,4,1,14,4,1,23,1,46.9,10.5,5170.32,0.16,96,0.1,287.24,492.41,1,3,6,12,0.11,28,68,20,15,37,20.69,24,N
3,3,0,0,5,4,2,0.25,2,2,1,0.5,5,1,0,8,0,17.16,6.19,657.1,0.04,25,0.16,36.51,106.2,0.5,1,2,5,0.12,9,16,8,11,17,38.46,8,N
27,24,11,3,48,34,13,0.16,14,2.43,10,0.77,53,7,0.5,76,1,60.5,32.21,62767.66,0.65,298,0.03,3487.09,1948.67,0.54,10,19,42,0.08,102,196,57,36,155,40.16,79,N
5,11,3,2,3,18,6,0.3,8,2.25,5,0.83,21,4,0.6,18,1,26.39,12.07,3845.69,0.11,67,0.08,213.65,318.58,0.67,5,9,17,0.21,26,41,14,13,29,21.74,20,N
2,3,1,2,0,4,2,0.14,2,2,2,1,6,1,0,12,2,20.76,2.5,129.72,0.02,15,0.4,7.21,51.89,0.5,1,2,6,0.12,6,9,6,5,17,14.29,14,N
25,11,4,11,21,20,6,0.18,10,2,3,0.5,24,1,0,22,2,25.24,19.95,10047.02,0.17,94,0.05,558.17,503.61,0.17,5,10,20,0.08,38,56,20,21,80,59.26,33,N
49,19,8,6,57,30,10,0.1,12,2.5,7,0.7,60,10,1,98,1,125.84,27.25,93428.15,1.14,486,0.04,5190.45,3428.87,1,9,15,52,0.05,172,314,101,32,211,39.13,104,N
7,3,0,0,0,4,2,0.13,2,2,1,0.5,6,1,0,15,2,37.54,7.6,2168.23,0.1,60,0.13,120.46,285.29,0.5,1,2,6,0.09,19,41,15,12,23,0,15,N
84,37,10,44,76,66,19,0.13,32,2.06,8,0.42,82,9,0.44,101,9,75.03,66,326814.89,1.65,685,0.02,18156.38,4951.74,0.47,17,33,65,0.06,264,421,100,50,306,54.3,145,N
1,5,0,0,0,8,3,0.27,4,2,1,0.33,9,1,0,11,2,14.67,14.67,3156.61,0.07,49,0.07,175.37,215.22,0.33,2,4,8,0.23,22,27,9,12,13,0,11,N
11,9,6,0,4,16,5,0.12,8,2,5,1,24,1,0,42,1,66.6,18.54,22884.16,0.41,209,0.05,1271.34,1234.54,0.2,4,8,21,0.09,80,129,41,19,58,8.7,42,N
10,13,0,15,2,22,7,0.3,10,2.2,1,0.14,23,1,0,8,4,21.3,16.32,5681.26,0.12,74,0.06,315.63,347.83,0.14,6,11,18,0.19,28,46,12,14,36,68,23,N
27,9,1,4,22,16,5,0.15,8,2,3,0.6,18,1,0,29,0,52.03,12.33,7914.68,0.21,111,0.08,439.7,641.73,0.2,4,8,15,0.06,37,74,33,22,83,47.27,33,Y
6,3,1,5,4,4,2,0.13,2,2,1,0.5,6,1,0,10,4,21.05,9.8,2021.97,0.07,45,0.1,112.33,206.32,0.5,1,2,6,0.08,14,31,10,14,26,47.37,15,N
0,3,0,0,0,4,2,0.13,2,2,1,0.5,6,1,0,15,2,42.88,6.87,2026.77,0.1,62,0.15,112.6,294.8,0.5,1,2,6,0.13,20,42,16,11,16,0,15,N
12,5,4,0,39,8,3,0.11,4,2,1,0.33,18,1,0,27,1,61.85,12.04,8964.95,0.25,130,0.08,498.05,744.63,0.33,2,4,17,0.04,61,69,38,15,79,59.09,27,N
4,11,1,3,0,20,6,0.21,10,2,6,1,38,1,0,25,2,42.36,23.73,23858.84,0.34,182,0.04,1325.49,1005.29,0.17,5,10,34,0.18,89,93,30,16,33,10.71,28,N
0,5,2,0,0,8,3,0.23,4,2,3,1,10,1,0,13,1,33.1,7.26,1746.71,0.08,49,0.14,97.04,240.44,0.33,2,4,9,0.21,19,30,17,13,14,0,13,N
27,27,7,3,1,44,15,0.2,22,2,12,0.8,66,8,0.5,73,2,36.37,50.39,92350.98,0.61,299,0.02,5130.61,1832.66,0.53,11,22,53,0.14,113,186,37,33,105,5.19,76,N
42,141,24,45,339,238,73,0.16,106,2.25,41,0.56,303,30,0.4,411,7,293.68,43.41,553518.63,4.25,1500,0.02,30751.03,12749.77,0.41,66,119,232,0.13,568,932,314,48,555,48.3,456,Y
82,43,12,6,100,74,23,0.13,36,2.06,17,0.74,117,15,0.64,176,5,140.31,37.2,194194.61,1.74,696,0.03,10788.59,5219.89,0.65,19,37,96,0.06,280,416,143,38,390,37.59,182,N
7,3,1,4,1,4,2,0.2,2,2,2,1,6,1,0,6,2,16.39,3.5,200.76,0.02,16,0.29,11.15,57.36,0.5,1,2,6,0.11,5,11,5,7,19,45.45,10,N
12,5,3,2,22,8,3,0.14,4,2,1,0.33,12,1,0,19,2,45.57,9.64,4237.49,0.15,85,0.1,235.42,439.44,0.33,2,4,11,0.05,27,58,21,15,56,55.81,21,Y
9,7,1,6,10,12,4,0.18,6,2,2,0.5,14,1,0,16,0,22.84,25.89,15315.78,0.2,109,0.04,850.88,591.46,0.25,3,6,12,0.1,41,68,19,24,42,50,22,N
9,7,0,7,11,12,4,0.16,6,2,1,0.25,14,4,1,18,4,24,15.38,5680.1,0.12,76,0.07,315.56,369.21,1,3,6,12,0.09,25,51,13,16,46,50,25,N
15,7,4,0,21,12,4,0.1,6,2,4,1,25,1,0,41,7,61.36,23.68,34405.27,0.48,247,0.04,1911.4,1453.01,0.25,3,6,23,0.05,117,130,42,17,78,33.87,41,N
21,31,10,13,50,34,18,0.13,16,2.13,13,0.72,72,1,0,125,3,77.8,40.25,126046.47,1.04,438,0.02,7002.58,3131.59,0.06,9,17,56,0.07,168,270,96,46,254,33.51,138,N
16,7,3,0,15,12,4,0.16,6,2,3,0.75,15,1,0,25,0,21.39,22.46,10795.37,0.16,97,0.04,599.74,480.56,0.25,3,6,13,0.07,37,60,14,17,57,37.5,25,N
7,7,2,0,8,12,4,0.16,6,2,1,0.25,16,1,0,25,0,31.67,15,7125,0.16,95,0.07,395.83,475,0.25,3,6,14,0.1,30,65,16,16,41,24.24,25,N
