@relation MC1

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
1,5,2,5,0,8,3,0.3,4,2,0,10,1,0,5,0,0,0,15.65,4.2,276.06,0.02,19,0.24,15.34,65.73,0,2,4,9,0.23,7,12,5,6,13,50,10,Y
0,1,1,0,0,0,1,0.2,0,1,1,2,1,0,5,9,1,1,37.11,4.27,675.52,0.05,35,0.23,37.53,158.32,1,0,0,3,0.03,16,19,15,8,32,0,5,N
4,7,3,0,3,10,4,0.4,4,3,0,14,4,1,10,0,0,0,26.1,9.43,2320.6,0.08,53,0.11,128.91,246.12,1,3,5,12,0.21,24,29,14,11,19,23.08,10,N
0,5,1,0,0,6,3,0.38,2,2,0,8,3,1,8,0,3,1,17.48,7.78,1057.26,0.05,32,0.13,58.74,135.93,1,2,3,7,0.3,14,18,9,10,10,0,8,N
5,17,10,6,4,32,9,0.23,16,9,1,50,5,0,34,0,0,0,74.55,14.83,16403.02,0.37,198,0.07,911.28,1105.82,0,8,16,43,0.18,89,109,36,12,51,22.73,40,N
3,3,3,0,1,8,2,0.2,4,2,1,7,1,0,10,0,0,0,22.56,10.29,2389.65,0.08,50,0.1,132.76,232.19,0,2,4,7,0.13,19,31,12,13,16,9.09,10,N
1,5,2,5,0,8,3,0.3,4,2,0,10,1,0,5,0,2,0,15.65,4.2,276.06,0.02,19,0.24,15.34,65.73,0,2,4,9,0.23,7,12,5,6,13,50,10,N
5,9,2,0,1,16,5,0.23,8,2,0,19,1,0,22,0,0,0,15.64,22.56,7958.45,0.12,78,0.04,442.14,352.84,0,4,8,16,0.17,29,49,9,14,30,4.35,22,N
38,11,0,19,12,20,1,0.01,10,1,1,38,1,0,71,0,0,0,42.96,127.76,701291.3,1.83,937,0.01,38960.63,5488.93,1,5,10,34,0.01,362,575,34,24,144,30.39,90,N
1,7,0,0,2,12,1,0.05,6,1,1,18,1,0,19,0,1,1,26.29,17.5,8052.16,0.15,89,0.06,447.34,460.12,1,3,6,16,0.04,35,54,18,18,25,9.52,19,N
3,1,1,0,0,0,1,0.5,0,1,1,2,1,0,2,0,0,0,7.75,2,31.02,0.01,6,0.5,1.72,15.51,1,0,0,3,0.14,2,4,2,4,7,0,2,N
0,1,0,0,0,0,1,0.5,0,1,1,1,1,0,2,1,0,0,11.39,3.5,139.52,0.01,12,0.29,7.75,39.86,1,0,0,2,0.25,3,9,3,7,4,0,2,N
15,7,2,0,77,12,4,0.09,6,4,1,23,1,0,44,0,4,1,21.39,79.89,136544.83,0.57,319,0.01,7585.82,1709.06,0,3,6,21,0.03,138,181,19,22,138,63.64,44,N
6,7,3,0,0,12,4,0.4,6,3,0,16,1,0,10,0,0,0,19.27,13.82,3679.42,0.09,56,0.07,204.41,266.27,0,3,6,14,0.22,19,37,11,16,18,0,10,N
0,5,0,0,2,6,3,0.6,2,1,0,7,3,1,5,0,3,1,12.6,6.67,560,0.03,21,0.15,31.11,84,1,2,3,6,0.33,8,13,6,10,9,28.57,5,N
3,5,2,0,3,8,3,0.16,4,3,1,13,1,0,19,0,3,1,18.24,22.91,9574.79,0.14,90,0.04,531.93,417.95,0,2,4,12,0.11,36,54,11,14,27,13.64,19,N
1,3,1,3,0,4,2,0.33,2,2,1,5,1,0,3,1,2,1,11.56,6.4,473.66,0.02,20,0.16,26.31,74.01,0,1,2,5,0.22,8,12,5,8,9,50,6,N
3,1,0,0,3,0,1,0.13,0,1,1,1,1,0,8,0,0,0,31.35,9.97,3114.36,0.1,65,0.1,173.02,312.48,1,0,0,2,0.06,23,42,15,13,18,27.27,8,N
19,13,1,4,16,24,7,0.16,12,2,0,34,1,0,40,0,3,0,36.91,36.02,47887.35,0.44,245,0.03,2660.41,1329.43,0,6,12,29,0.08,91,154,24,19,85,33.33,44,N
0,3,2,0,1,4,2,0.14,2,1,0,7,1,0,14,1,2,1,14.94,18.33,5020.77,0.09,67,0.05,278.93,273.86,0,1,2,7,0.12,20,47,6,11,17,6.67,14,N
10,21,15,5,16,38,11,0.26,18,10,0,66,11,1,38,0,9,0,62,25.21,39410.78,0.52,283,0.04,2189.49,1563.17,1,10,19,57,0.15,128,155,33,13,71,35.59,43,N
9,27,6,2,18,24,20,0.23,12,17,0,60,1,0,86,0,19,0,66.26,43.5,125383.65,0.96,444,0.02,6965.76,2882.38,0,6,12,42,0.17,183,261,61,29,117,18.87,88,N
2,3,0,0,0,4,2,0.22,2,1,0,6,1,0,9,0,0,0,8.51,8,544.91,0.02,19,0.13,30.27,68.11,0,1,2,6,0.15,8,11,4,8,13,0,9,N
25,31,6,0,30,60,16,0.21,26,14,0,62,15,0,77,0,15,0,39.82,60.83,147362.04,0.81,419,0.02,8186.78,2422.39,0,17,30,48,0.12,146,273,30,25,134,28.04,77,N
0,3,1,0,1,4,2,0.67,2,2,1,5,1,0,3,0,2,1,8.1,3.33,90,0.01,9,0.3,5,27,0,1,2,5,0.33,4,5,3,5,6,25,3,N
3,5,3,9,0,8,3,0.18,4,3,1,13,1,0,8,0,0,0,31.33,6,1128,0.06,47,0.17,62.67,188,0,2,4,12,0.14,20,27,10,6,22,52.94,17,N
2,3,0,0,0,4,2,0.29,2,1,0,6,1,0,7,1,2,1,9.87,8.1,647.63,0.03,21,0.12,35.98,79.95,0,1,2,6,0.18,9,12,5,9,11,0,7,N
15,1,10,9,4,0,1,0.08,0,1,1,11,1,0,4,0,1,1,75.81,2.65,531.2,0.07,45,0.38,29.51,200.67,1,0,0,12,0.03,18,27,17,5,34,76.47,13,N
8,27,5,0,0,52,14,0.35,26,8,0,62,1,0,40,0,3,0,43.33,25.77,28780.5,0.37,216,0.04,1598.92,1116.7,0,13,26,50,0.28,81,135,22,14,50,0,40,N
33,9,2,0,0,12,5,0.23,4,1,0,19,5,1,22,0,1,0,20.3,25.14,12830.82,0.17,104,0.04,712.82,510.32,1,4,6,16,0.09,44,60,14,16,58,0,22,N
2,3,0,0,1,4,2,0.29,2,1,0,6,1,0,7,3,2,1,16.97,9.17,1426.24,0.05,36,0.11,79.24,155.59,0,1,2,6,0.17,15,21,9,11,12,12.5,7,N
2,3,1,0,0,4,2,0.12,2,2,1,5,1,0,17,6,2,1,39.15,16.88,11148.9,0.22,125,0.06,619.38,660.68,0,1,2,5,0.07,54,71,24,15,28,0,17,N
0,3,0,0,0,4,2,0.4,2,1,0,6,1,0,5,1,2,1,10.41,6.4,426.29,0.02,18,0.16,23.68,66.61,0,1,2,6,0.29,8,10,5,8,7,0,5,N
1,3,2,0,1,4,2,0.2,2,2,1,7,1,0,10,0,0,0,14.14,10.56,1577.39,0.05,34,0.09,87.63,149.34,0,1,2,7,0.14,13,21,8,13,14,9.09,10,N
0,3,2,0,0,4,2,0.4,2,2,1,6,1,0,5,0,0,0,23.23,6.05,850.35,0.05,32,0.17,47.24,140.55,0,1,2,6,0.29,11,21,10,11,7,0,5,N
11,39,2,3,17,52,20,0.34,14,2,0,56,18,0,55,0,0,0,37.92,34.5,45133.85,0.44,233,0.03,2507.44,1308.23,0,19,29,38,0.23,92,141,28,21,88,26.67,58,N
6,7,3,0,0,12,4,0.4,6,3,0,16,1,0,10,0,0,0,18.14,12.95,3044.6,0.08,50,0.08,169.14,235.02,0,3,6,14,0.22,19,31,11,15,18,0,10,N
4,1,3,0,3,0,1,0.14,0,1,1,4,1,0,7,0,1,1,24.9,5.73,816.84,0.05,33,0.17,45.38,142.62,1,0,0,5,0.06,14,19,11,9,16,30,7,N
5,3,1,0,3,4,2,0.22,2,1,0,6,1,0,9,0,2,1,11.26,10,1125.88,0.04,27,0.1,62.55,112.59,0,1,2,6,0.11,10,17,6,12,19,25,9,N
