@relation KC1

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
3,7,0,1,4,4,1,22,34.8,7.88,2157.9,0.09,57,0.13,119.88,274.02,21,36,16,12,32,N
2,5,0,2,3,3,1,14,19.35,10.67,2202.02,0.07,47,0.09,122.33,206.44,16,31,9,12,22,Y
0,1,1,0,1,1,1,3,11.86,5.25,326.92,0.02,18,0.19,18.16,62.27,6,12,4,7,6,N
0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,5,N
0,3,0,0,2,2,1,5,10.75,5,268.87,0.02,15,0.2,14.94,53.77,5,10,4,8,7,N
6,19,0,7,10,10,1,54,42.36,25,26476.59,0.35,199,0.04,1470.92,1059.06,75,124,24,16,69,Y
1,5,2,1,3,3,1,13,17.3,8.13,1142,0.05,32,0.12,63.44,140.55,10,22,8,13,19,N
2,3,0,0,2,2,1,25,119.9,6.97,5824.19,0.28,154,0.14,323.57,835.64,46,108,33,10,32,N
1,15,0,0,8,3,4,12,22.55,17,6517.36,0.13,76,0.06,362.08,383.37,32,44,16,17,15,Y
1,5,0,0,3,3,1,21,29.72,11,3595.9,0.11,68,0.09,199.77,326.9,22,46,14,14,25,N
3,3,0,1,2,2,1,20,38.84,7.2,2013.72,0.09,61,0.14,111.87,279.68,24,37,15,9,27,N
17,7,0,0,5,5,1,19,20.51,15,4615.62,0.1,61,0.07,256.42,307.71,25,36,15,18,38,Y
0,3,0,0,2,2,1,6,5.07,8.75,388.32,0.01,14,0.11,21.57,44.38,5,9,2,7,8,N
0,1,0,0,1,1,1,6,16.32,4.67,355.35,0.03,20,0.21,19.74,76.15,7,13,6,8,8,Y
2,5,0,0,3,2,1,9,18.49,9.55,1684.45,0.06,38,0.1,93.58,176.47,15,23,11,14,13,N
5,27,0,0,14,14,8,69,57.94,18.07,18928.42,0.35,193,0.06,1051.58,1047.27,61,132,27,16,76,N
2,35,0,1,18,18,11,49,58.14,13.44,10502.26,0.26,150,0.07,583.46,781.42,56,94,25,12,54,N
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,N
1,3,0,0,2,2,1,19,46.64,6.9,2223.49,0.11,65,0.14,123.53,322.02,29,36,21,10,24,N
4,9,0,4,5,5,1,26,28.45,12.54,4470.44,0.12,75,0.08,248.36,356.62,27,48,14,13,36,N
0,1,0,0,1,1,1,0,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,2,5,2,5,5,N
0,1,0,0,1,1,1,28,2.77,39,4212,0.04,54,0.03,234,108,26,28,1,3,30,Y
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,N
0,3,0,0,2,1,1,0,9.6,2.5,60,0.01,8,0.4,3.33,24,3,5,3,5,2,N
3,3,0,2,2,2,1,18,32.64,5.19,879.88,0.06,38,0.19,48.88,169.46,15,23,13,9,25,Y
2,1,0,2,1,1,1,5,13.29,3.75,186.86,0.02,15,0.27,10.38,49.83,5,10,4,6,11,N
4,11,0,4,6,5,1,50,49.98,16.37,13409.92,0.27,156,0.06,745,818.68,63,93,25,13,60,N
1,3,0,0,2,2,1,10,16.21,11,1962.54,0.06,42,0.09,109.03,178.41,16,26,8,11,14,N
0,1,0,0,1,1,1,4,9.51,3,85.59,0.01,9,0.33,4.75,28.53,3,6,3,6,6,N
5,7,5,4,4,4,1,23,35.28,9.92,3472.37,0.12,70,0.1,192.91,350,29,41,19,13,39,N
2,5,0,1,3,3,3,18,28.75,9.69,2700.58,0.09,60,0.1,150.03,278.63,21,39,13,12,23,N
1,1,0,0,1,1,1,6,19.16,6.19,733.44,0.04,29,0.16,40.75,118.54,11,18,8,9,9,N
6,13,0,6,7,6,1,60,39.51,24,22758.88,0.32,177,0.04,1264.38,948.29,75,102,25,16,74,N
3,3,0,1,2,2,1,11,20.75,7.78,1255.5,0.05,38,0.13,69.75,161.42,14,24,9,10,17,N
6,13,0,4,7,6,1,66,67.19,17.71,21062.86,0.4,213,0.06,1170.16,1189.6,86,127,34,14,78,Y
0,3,0,0,2,2,1,7,21.02,6.22,813.86,0.04,32,0.16,45.21,130.8,14,18,9,8,12,N
0,1,0,0,1,1,1,12,52.46,5.56,1619.04,0.1,62,0.18,89.95,291.43,25,37,18,8,20,N
0,1,0,0,1,1,1,4,11.2,3,100.81,0.01,13,0.33,5.6,33.6,3,10,2,4,6,Y
2,3,0,0,2,2,1,10,16.52,6.86,776.91,0.04,29,0.15,43.16,113.3,12,17,7,8,16,Y
0,5,0,0,2,2,1,17,16.67,9.75,1584.53,0.05,37,0.1,88.03,162.52,12,25,8,13,19,Y
2,1,0,0,1,1,1,4,18.08,4,289.36,0.02,19,0.25,16.07,72.34,8,11,7,7,9,N
0,1,0,0,1,1,1,2,9.83,2,39.3,0.01,7,0.5,2.18,19.65,3,4,3,4,4,N
6,6,0,1,4,4,1,28,28.43,12.13,4184.99,0.11,71,0.08,232.5,344.92,26,45,15,14,37,N
2,9,4,4,5,4,5,36,36.96,18,11974.34,0.22,125,0.06,665.24,665.24,44,81,22,18,48,N
0,1,0,3,1,1,1,6,15.22,3.75,213.97,0.02,18,0.27,11.89,57.06,6,12,4,5,14,N
5,5,0,4,3,3,1,26,25.41,13.43,4585.09,0.11,71,0.07,254.73,341.32,31,40,15,13,39,N
1,7,0,0,4,3,1,16,11.7,13.33,2080,0.05,39,0.08,115.56,156,16,23,6,10,19,N
4,5,0,3,3,3,1,43,54.62,14.09,10838.4,0.26,150,0.07,602.13,769.39,54,96,23,12,56,Y
4,3,0,0,2,2,1,8,11.35,6,408.69,0.02,19,0.17,22.7,68.11,6,13,4,8,14,N
6,9,0,2,5,4,3,31,48.51,10.05,4894.97,0.16,95,0.1,271.94,487.28,34,61,22,13,44,N
0,1,0,0,1,1,1,3,16.84,1.5,37.9,0.01,9,0.67,2.11,25.27,4,5,4,3,5,N
5,3,0,1,2,2,1,31,70.66,11.6,9507.73,0.27,152,0.09,528.21,819.63,58,94,30,12,39,N
17,49,0,11,25,25,11,179,115.99,32.93,125808.33,1.27,606,0.03,6989.35,3820.09,208,398,60,19,210,N
1,1,0,0,1,1,1,2,7.75,2,31.02,0.01,6,0.5,1.72,15.51,2,4,2,4,5,N
1,1,0,0,1,1,1,4,9.6,2.5,60,0.01,8,0.4,3.33,24,3,5,3,5,10,N
3,5,0,0,3,3,1,22,55.59,7.1,2805.82,0.13,77,0.14,155.88,394.95,31,46,24,11,27,Y
2,5,0,1,3,3,1,25,39.13,9.71,3686.11,0.13,79,0.1,204.78,379.78,30,49,17,11,31,N
16,49,8,9,25,25,19,114,80.13,30.36,73847.58,0.81,401,0.03,4102.64,2432.5,133,268,46,21,149,N
2,11,0,0,6,6,3,35,31,18.45,10553.84,0.19,109,0.05,586.32,572.02,41,68,20,18,41,Y
2,11,0,1,6,6,5,38,39.12,12.89,6504.61,0.17,100,0.08,361.37,504.44,35,65,19,14,45,N
0,1,0,0,1,1,1,6,17.92,4,286.8,0.02,20,0.25,15.93,71.7,8,12,6,6,8,N
1,7,0,0,4,3,3,14,17.63,7.71,1049.14,0.05,34,0.13,58.29,136,12,22,7,9,17,Y
11,13,3,2,7,4,1,61,79.11,16.07,20425.58,0.42,217,0.06,1134.75,1271.18,101,116,44,14,79,N
1,3,2,0,2,2,1,11,9.94,13.75,1880.19,0.05,35,0.07,104.46,136.74,10,25,4,11,16,Y
2,1,0,0,1,1,1,14,19.44,10.29,2057.13,0.07,50,0.1,114.29,200,16,34,7,9,18,N
2,3,0,0,2,2,1,16,33.67,6,1212.28,0.07,46,0.17,67.35,202.05,16,30,12,9,23,N
4,17,0,1,9,6,1,50,40.61,14.76,8849.14,0.2,121,0.07,491.62,599.46,62,59,21,10,57,N
1,7,0,0,4,1,1,22,22.36,12.46,3472.18,0.09,60,0.08,192.9,278.63,27,33,13,12,28,N
0,1,0,0,1,1,1,0,22.33,3.5,273.48,0.03,20,0.29,15.19,78.14,8,12,8,7,2,N
13,21,0,4,11,11,1,65,51.83,28.95,43431.19,0.5,254,0.03,2412.84,1500.35,100,154,38,22,84,Y
3,3,0,1,2,2,1,6,11.86,4.38,227.03,0.02,15,0.23,12.61,51.89,5,10,4,7,12,N
2,5,0,0,3,3,1,11,22.94,7.78,1387.66,0.06,42,0.13,77.09,178.41,14,28,9,10,15,N
3,5,1,1,3,3,1,18,24.99,7.65,1462.35,0.06,45,0.13,81.24,191.16,17,28,10,9,25,Y
1,3,0,0,2,2,1,11,21.27,5.14,562.59,0.04,28,0.19,31.26,109.39,9,19,7,8,14,N
0,1,0,0,1,1,1,6,16.32,4.67,355.35,0.03,20,0.21,19.74,76.15,7,13,6,8,10,N
10,17,0,8,12,9,1,53,37.59,19.71,14609.41,0.25,130,0.05,811.63,741.06,46,84,28,24,73,N
4,1,0,0,1,1,1,9,30.84,5.41,902.22,0.06,40,0.18,50.12,166.8,17,23,11,7,18,N
3,3,0,1,2,2,1,16,38.54,6.9,1834.9,0.09,58,0.14,101.94,265.93,23,35,15,9,23,N
4,7,0,0,4,4,1,13,34.7,12.28,5231.08,0.14,86,0.08,290.62,426.06,34,52,18,13,19,Y
1,5,0,0,3,3,1,25,32.82,9.17,2757.59,0.1,64,0.11,153.2,300.83,25,39,15,11,29,Y
0,1,0,0,1,1,1,8,27.26,5.2,737.24,0.05,34,0.19,40.96,141.78,13,21,10,8,14,N
4,1,0,0,1,1,1,15,20.22,10.29,2139.43,0.07,52,0.1,118.86,208,16,36,7,9,21,N
3,3,0,1,2,2,1,11,25.62,6.22,991.89,0.05,39,0.16,55.11,159.41,14,25,9,8,19,N
2,15,0,1,8,8,1,43,42.12,13.65,7847.16,0.19,113,0.07,435.95,574.88,39,74,20,14,48,N
1,1,0,0,1,1,1,4,36.14,3,325.25,0.04,26,0.33,18.07,108.42,12,14,12,6,14,Y
2,5,0,0,3,3,1,12,39.4,7,1930.48,0.09,58,0.14,107.25,275.78,28,30,18,9,16,Y
12,13,0,6,7,6,1,59,63.37,14.03,12478.8,0.3,161,0.07,693.27,889.29,58,103,31,15,79,Y
0,1,0,0,1,1,1,3,8,3,72,0.01,8,0.33,4,24,2,6,2,6,5,Y
0,1,0,0,1,1,1,7,37,2.5,231.28,0.03,25,0.4,12.85,92.51,8,17,8,5,9,Y
2,9,0,0,5,5,1,27,26.16,18.75,9196.23,0.16,99,0.05,510.9,490.47,40,59,16,15,34,Y
5,13,1,2,7,7,6,52,42.58,18,13794.44,0.26,144,0.06,766.36,766.36,44,100,22,18,63,N
13,7,0,0,4,4,1,19,18.77,15.89,4738.27,0.1,69,0.06,263.24,298.21,26,43,9,11,34,Y
3,17,0,2,9,9,5,42,35.23,18.28,11773.96,0.21,130,0.05,654.11,644.05,39,91,16,15,49,N
6,15,0,3,8,8,5,48,40.5,18.78,14289.29,0.25,142,0.05,793.85,760.77,48,94,23,18,61,N
1,3,1,1,2,1,1,5,14.38,4.5,291.26,0.02,17,0.22,16.18,64.73,5,12,5,9,10,N
4,3,0,0,2,2,1,14,22.64,13,3826.19,0.1,66,0.08,212.57,294.32,26,40,11,11,23,N
1,1,0,0,1,1,1,3,9.6,2.5,60,0.01,8,0.4,3.33,24,3,5,3,5,9,N
6,7,0,1,4,4,3,29,26.52,14.5,5576.53,0.13,80,0.07,309.81,384.59,29,51,14,14,38,N
1,3,0,0,2,2,1,11,23.83,5.6,747.25,0.04,32,0.18,41.51,133.44,14,18,10,8,16,N
4,1,0,11,1,1,1,18,27.14,10.8,3165.56,0.1,69,0.09,175.86,293.11,24,45,10,9,36,Y
9,11,0,0,6,5,5,29,26.93,18.9,9619.48,0.17,95,0.05,534.42,508.97,36,59,20,21,41,Y
4,7,0,11,4,4,1,23,34.05,8.21,2297.39,0.09,61,0.12,127.63,279.68,23,38,14,10,40,N
0,3,0,0,2,1,1,4,11.95,4.2,210.8,0.02,14,0.24,11.71,50.19,6,8,5,7,6,N
2,5,0,0,3,2,1,10,19.91,9.92,1957.73,0.07,42,0.1,108.76,197.42,17,25,12,14,14,N
6,21,0,1,11,11,11,53,42.96,21.8,20423.25,0.31,176,0.05,1134.62,936.66,59,117,23,17,62,N
1,1,0,0,1,1,1,11,29.33,3,264,0.03,22,0.33,14.67,88,10,12,10,6,17,N
2,1,0,0,1,1,1,6,19.93,2.67,141.74,0.02,16,0.38,7.87,53.15,8,8,6,4,10,N
0,1,0,0,1,1,1,3,11.63,2,46.53,0.01,9,0.5,2.58,23.26,4,5,3,3,5,N
23,54,0,17,28,27,18,173,143.73,23.29,77990.66,1.12,521,0.04,4332.81,3348.08,176,345,68,18,217,Y
1,5,0,1,3,2,1,18,26.83,13.85,5143.96,0.12,80,0.07,285.78,371.51,30,50,13,12,24,Y
0,3,0,0,2,2,1,14,26.65,6,959.47,0.05,37,0.17,53.3,159.91,12,25,10,10,17,N
3,7,0,0,4,4,1,35,48.52,13,8199.5,0.21,122,0.08,455.53,630.73,46,76,23,13,40,N
1,11,0,8,6,4,1,21,23.57,10.64,2666.24,0.08,58,0.09,148.12,250.67,26,32,11,9,32,N
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Y
1,7,0,0,4,4,3,12,13.14,16.63,3632.76,0.07,49,0.06,201.82,218.51,19,30,8,14,15,N
2,13,0,0,7,6,1,43,43.58,12.05,6323.86,0.18,105,0.08,351.33,525,53,52,22,10,47,Y
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N
8,21,0,0,11,9,6,43,48.29,44.31,94805.86,0.71,354,0.02,5266.99,2139.72,128,226,39,27,53,Y
3,9,0,0,5,4,3,35,34.3,13.72,6458.35,0.16,95,0.07,358.8,470.65,38,57,18,13,40,Y
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,N
0,1,0,0,1,1,1,3,8,4.5,162,0.01,12,0.22,9,36,3,9,2,6,5,N
0,1,0,0,1,1,1,12,48.95,5.88,1693.64,0.1,62,0.17,94.09,287.92,25,37,17,8,16,N
2,7,0,1,4,4,3,28,44.35,9.92,4365.26,0.15,88,0.1,242.51,440,29,59,19,13,32,N
12,19,0,4,10,10,3,76,100.98,14.77,22027.25,0.5,245,0.07,1223.74,1491.43,96,149,52,16,93,N
0,1,0,0,1,1,1,10,39.43,5.43,1162,0.07,48,0.18,64.56,214.05,19,29,14,8,15,N
7,27,0,5,14,9,10,74,36.77,34.83,44593.23,0.43,239,0.03,2477.4,1280.45,89,150,23,18,88,N
0,1,0,0,1,1,1,13,54.15,5.56,1671.27,0.1,64,0.18,92.85,300.83,25,39,18,8,18,N
0,1,0,0,1,1,1,8,22.21,6,799.54,0.04,35,0.17,44.42,133.26,12,23,7,7,10,N
1,1,0,0,1,1,1,4,11.86,4.38,227.03,0.02,15,0.23,12.61,51.89,5,10,4,7,7,N
0,1,0,0,1,1,1,14,62.53,5.9,2180.08,0.12,76,0.17,121.12,369.21,31,45,21,8,20,N
0,1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,11.61,2,3,2,3,6,N
0,1,0,0,1,1,1,3,9.51,0.5,2.38,0,3,2,0.13,4.75,2,1,2,1,6,N
22,25,0,24,13,12,4,131,98.25,22.82,51144.16,0.75,361,0.04,2841.34,2241.61,153,208,57,17,179,Y
0,3,0,0,2,1,1,0,8.72,4,139.48,0.01,11,0.25,7.75,34.87,4,7,3,6,2,N
5,7,0,0,4,4,1,26,49.72,11.02,6040.05,0.18,106,0.09,335.56,548.01,39,67,23,13,33,N
0,1,0,0,1,1,1,1,18.09,1,18.09,0.01,7,1,1.01,18.09,4,3,4,2,2,N
22,31,0,7,16,13,11,101,69.24,29.65,60862.61,0.68,322,0.03,3381.26,2052.76,130,192,57,26,132,Y
3,5,0,4,3,3,1,23,32.22,9.34,2814.29,0.1,62,0.11,156.35,301.19,23,39,16,13,32,N
1,3,0,0,2,2,1,12,19.71,5.5,596.3,0.04,26,0.18,33.13,108.42,11,15,9,9,15,N
0,5,0,1,3,3,1,15,20.17,8.86,1584.94,0.06,39,0.11,88.05,178.81,15,24,11,13,18,N
2,7,0,0,4,2,3,18,23.97,8,1534.04,0.06,43,0.13,85.22,191.76,16,27,11,11,24,N
1,3,0,0,2,2,1,11,16.14,7.5,908.35,0.04,31,0.13,50.46,121.11,10,21,6,9,14,N
0,5,0,1,3,3,1,10,13.3,6.4,544.7,0.03,23,0.16,30.26,85.11,8,15,5,8,13,N
7,7,0,3,4,3,3,37,55.37,16.14,14440.71,0.3,152,0.06,802.26,894.16,68,84,40,19,55,Y
9,33,5,4,17,15,10,111,74.25,33.78,84710.46,0.84,399,0.03,4706.14,2507.88,152,247,54,24,131,N
0,1,0,0,1,1,1,3,14.99,3,134.92,0.01,13,0.33,7.5,44.97,5,8,5,6,5,N
0,1,0,0,1,1,1,8,27.26,5.2,737.24,0.05,34,0.19,40.96,141.78,13,21,10,8,15,N
1,1,0,2,1,1,1,30,107.09,4.34,2021.62,0.16,90,0.23,112.31,465.29,36,54,29,7,34,N
2,11,0,3,6,5,1,43,41.29,16.25,10902.2,0.22,133,0.06,605.68,670.9,50,83,20,13,52,Y
0,5,0,0,3,2,3,1,11.85,4.5,239.86,0.02,14,0.22,13.33,53.3,5,9,5,9,3,N
0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,4,N
4,15,0,4,8,8,3,75,73.03,15.35,17214.99,0.37,203,0.07,956.39,1121.28,87,116,34,12,92,Y
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,N
1,1,0,0,1,1,1,18,64.87,4.74,1454.65,0.1,67,0.21,80.81,307.19,23,44,17,7,23,Y
7,18,0,0,10,10,8,61,54.12,16.42,14596.21,0.3,167,0.06,810.9,888.76,61,106,26,14,70,N
2,3,0,0,2,2,1,9,10.75,7,526.99,0.03,21,0.14,29.28,75.28,7,14,4,8,13,N
2,7,0,1,4,3,1,22,30.09,8.64,2247.63,0.09,56,0.12,124.87,260.06,22,34,14,11,29,N
1,5,0,0,3,3,1,5,7.3,5,182.48,0.01,13,0.2,10.14,36.5,4,9,2,5,8,Y
7,11,3,17,6,6,1,56,61.88,17.14,18184.17,0.35,187,0.06,1010.23,1060.74,75,112,35,16,85,N
2,3,0,1,2,2,1,10,17.4,6.29,687.61,0.04,28,0.16,38.2,109.39,11,17,7,8,15,N
0,1,0,2,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,11.61,2,3,2,3,6,N
9,9,0,2,5,5,1,58,60.41,14,11840.44,0.28,154,0.07,657.8,845.75,56,98,30,15,75,N
6,19,0,6,10,10,1,57,49.46,16.5,13466.32,0.27,168,0.06,748.13,816.14,54,114,18,11,78,N
0,1,0,0,1,1,1,2,6.86,3.5,84,0.01,8,0.29,4.67,24,1,7,1,7,4,N
0,1,0,0,1,1,1,9,26.79,5.25,738.4,0.05,36,0.19,41.02,140.65,12,24,8,7,12,Y
7,33,1,2,17,17,10,79,56.75,19.38,21323.71,0.37,204,0.05,1184.65,1100.03,63,141,26,16,91,N
4,3,0,0,2,2,1,15,45.4,7.75,2726.93,0.12,74,0.13,151.5,351.86,31,43,18,9,26,N
0,3,0,0,2,2,1,7,12.33,4.8,284.19,0.02,16,0.21,15.79,59.21,6,10,5,8,9,N
1,1,0,0,1,1,1,7,24.74,3,222.69,0.02,19,0.33,12.37,74.23,9,10,9,6,13,N
1,3,0,0,2,2,1,8,9.87,7.88,611.96,0.03,21,0.13,34,77.71,7,14,4,9,11,N
12,17,0,4,9,9,1,48,54.44,17.5,16670.93,0.32,179,0.06,926.16,952.63,65,114,26,14,66,N
2,1,0,0,1,1,1,5,7.75,2,31.02,0.01,6,0.5,1.72,15.51,2,4,2,4,9,Y
5,21,0,1,11,7,10,54,54.6,21.71,25742.43,0.4,206,0.05,1430.14,1185.51,80,126,35,19,69,N
2,7,0,0,4,4,3,33,46.32,13.62,8591.51,0.21,124,0.07,477.31,630.85,44,80,21,13,38,N
0,1,0,2,1,1,1,4,6.67,4.5,135,0.01,10,0.22,7.5,30,3,7,2,6,8,N
4,5,0,7,3,3,1,33,40.66,11.76,5624.8,0.16,94,0.09,312.49,478.22,38,56,21,13,47,N
8,13,0,10,7,6,1,62,60.25,21.63,28182.18,0.43,218,0.05,1565.68,1303.05,93,125,43,20,82,N
1,3,0,0,2,1,1,6,16.61,2.92,141.26,0.02,14,0.34,7.85,48.43,7,7,6,5,9,N
0,1,0,0,1,1,1,3,14.4,2.5,90,0.01,12,0.4,5,36,5,7,4,4,6,N
11,9,3,9,5,4,3,46,50.35,14.45,10515.73,0.24,131,0.07,584.21,727.65,56,75,31,16,74,Y
0,3,0,0,2,2,1,8,14.28,6.67,634.56,0.03,25,0.15,35.25,95.18,10,15,6,8,12,N
1,1,0,17,1,1,1,2,7.75,2,31.02,0.01,6,0.5,1.72,15.51,2,4,2,4,22,N
0,1,0,0,1,1,1,2,7.75,2,31.02,0.01,6,0.5,1.72,15.51,2,4,2,4,4,N
1,3,0,1,2,2,1,6,11.86,4.38,227.03,0.02,15,0.23,12.61,51.89,5,10,4,7,10,N
1,3,0,0,2,2,1,8,16.89,4.5,342,0.03,19,0.22,19,76,7,12,7,9,11,N
2,3,0,0,2,2,1,14,19.94,6.86,937.65,0.05,35,0.15,52.09,136.74,12,23,7,8,18,N
0,1,0,0,1,1,1,2,8,1,8,0,4,1,0.44,8,2,2,2,2,5,N
2,1,0,0,1,1,1,9,29.44,3.75,414.05,0.04,29,0.27,23,110.41,10,19,8,6,13,N
6,25,5,3,13,11,10,85,65.81,28.86,54815.82,0.63,304,0.03,3045.32,1899.37,111,193,50,26,102,N
0,1,0,0,1,1,1,2,9.51,3,85.59,0.01,9,0.33,4.75,28.53,3,6,3,6,5,N
5,9,0,0,5,3,3,16,27.78,22.8,14439.1,0.21,116,0.04,802.17,633.29,38,78,20,24,23,Y
0,3,0,0,2,1,1,8,35.66,7.2,1848.66,0.09,56,0.14,102.7,256.76,24,32,15,9,10,N
34,33,9,13,17,15,8,92,54.02,35.08,66460.03,0.63,317,0.03,3692.22,1894.8,122,195,40,23,150,N
3,3,0,1,2,2,1,16,32.63,8.07,2123.35,0.09,56,0.12,117.96,263.22,22,34,15,11,24,N
0,1,0,0,1,1,1,8,21.74,4.89,519.55,0.04,26,0.2,28.86,106.27,11,15,9,8,14,N
1,7,0,0,4,4,1,30,23.08,14.5,4853.18,0.11,73,0.07,269.62,334.7,29,44,12,12,33,Y
1,3,0,0,2,2,1,10,14.28,6.67,634.56,0.03,25,0.15,35.25,95.18,10,15,6,8,15,N
7,11,0,0,6,6,1,45,46.32,15.83,11604.88,0.24,132,0.06,644.72,733.21,51,81,29,18,54,N
0,3,0,0,2,2,1,16,22.94,7.22,1196.5,0.06,39,0.14,66.47,165.67,13,26,9,10,18,N
1,5,0,1,3,3,1,23,30.96,11.67,4214.16,0.12,81,0.09,234.12,361.21,28,53,12,10,30,N
0,1,0,0,1,1,1,1,12.68,2.5,79.25,0.01,10,0.4,4.4,31.7,4,6,4,5,6,N
0,1,0,1,1,1,1,4,10.8,2.5,67.5,0.01,9,0.4,3.75,27,3,6,3,5,7,N
0,11,0,5,6,2,1,19,13.43,22.4,6738.55,0.1,64,0.04,374.36,300.83,28,36,10,16,27,N
0,7,0,0,4,4,1,24,35.53,11.79,4935.43,0.14,81,0.08,274.19,418.76,33,48,21,15,26,Y
2,3,0,2,2,2,1,24,29.77,11.7,4075.46,0.12,82,0.09,226.41,348.33,26,56,10,9,30,N
5,25,0,0,13,10,10,40,35.3,36.93,48144.92,0.43,231,0.03,2674.72,1303.73,94,137,28,22,47,Y
1,3,0,0,2,2,1,8,13.26,6.42,546.12,0.03,23,0.16,30.34,85.11,11,12,6,7,11,N
10,11,0,0,6,5,5,30,26.93,18.9,9619.48,0.17,95,0.05,534.42,508.97,36,59,20,21,43,Y
